Tiempo;Objetos;Arquitectura;Efectos;Resolucion
110.33;65000;APU;AA-TR-RE;1440x900
7.75;1000;APU;AA-TR-RE;1280x720
65.51;16000;APU;AA-TR-RE;1920x1080
22.56;65000;APU;AA-NA-NA;1920x1080
7.30;1000;APU;AA-TR-NA;1440x900
36.03;65000;APU;AA-TR-NA;1440x900
23.73;260000;APU;NA-NA-RE;1440x900
7.98;1000;APU;AA-NA-RE;1920x1080
32.76;65000;APU;AA-NA-RE;1280x720
4.13;1000;APU;NA-TR-NA;1920x1080
4.31;1000;APU;NA-NA-RE;1920x1080
28.66;260000;APU;NA-NA-RE;1920x1080
249.54;260000;APU;AA-TR-RE;1440x900
82.88;65000;APU;AA-TR-RE;1280x720
4.01;1000;APU;NA-TR-NA;1440x900
43.93;65000;APU;AA-NA-RE;1440x900
92.52;260000;APU;AA-TR-NA;1920x1080
4.03;1000;APU;NA-TR-NA;1440x900
10.59;4000;APU;AA-NA-RE;1280x720
5.53;1000;APU;AA-NA-NA;1280x720
15.48;16000;APU;NA-TR-RE;1920x1080
24.25;65000;APU;NA-TR-RE;1440x900
6.84;1000;APU;AA-NA-RE;1280x720
101.49;260000;APU;AA-NA-RE;1440x900
3.51;1000;APU;NA-NA-NA;1280x720
4.88;16000;APU;NA-NA-NA;1440x900
47.94;260000;APU;AA-NA-NA;1440x900
4.35;1000;APU;NA-TR-NA;1920x1080
7.40;16000;APU;NA-NA-RE;1440x900
9.62;1000;APU;AA-TR-RE;1920x1080
6.44;4000;APU;NA-TR-RE;1440x900
19.35;260000;APU;NA-TR-NA;1440x900
7.10;65000;APU;NA-NA-NA;1440x900
10.57;4000;APU;AA-NA-RE;1280x720
32.54;65000;APU;AA-NA-RE;1280x720
306.25;260000;APU;AA-TR-RE;1920x1080
13.76;65000;APU;NA-NA-RE;1920x1080
39.83;260000;APU;AA-NA-NA;1280x720
43.99;16000;APU;AA-TR-RE;1280x720
196.81;260000;APU;AA-TR-RE;1280x720
7.35;4000;APU;NA-TR-RE;1920x1080
13.63;16000;APU;NA-TR-RE;1440x900
16.18;65000;APU;AA-NA-NA;1280x720
4.26;1000;APU;NA-TR-NA;1920x1080
5.44;4000;APU;NA-TR-NA;1440x900
14.90;4000;APU;AA-NA-RE;1920x1080
